email_subject,email_content,sending_date,sending_time,day,url_title,coinedword,sender_name,sender_title,closing_remarks,sender_email,logo,to,label,sender_domain,clean_content,word_count,subject_length,body_length,link_count,has_link
We Need Your Confirmation,fund in office that we like to make some clarification,"May 22nd, 2019",7.42.13 am,wed,http://example.com/PHISHING_TEST/row74,"confirmation, ",[redacted],Y,Yours in Servic,[redacted_email],,[redacted],1,y,fund in office that we like to make some clarification,10,25,54,0,0
Email Security Alert,email storage exceeded the limit and need to upgrade immidiately. ,"May 22nd, 2019",8.36 am,wed,http://example.com/PHISHING_TEST/row75,"exceeded, upgraded, alert, secuirty, data lost,immidiately",[redacted],Y,,[redacted_email],,[redacted],1,y,email storage exceeded the limit and need to upgrade immidiately.,10,20,65,0,0
Doc___gn Received : ScannedAgreementDOC012.Pdf,doc shared,"May 21st, 2019",3.30pm,tue,http://example.com/PHISHING_TEST/row76,shared,[redacted],Y,"Thank you,",[redacted_email],Docx,[redacted],1,y,doc shared,2,46,10,0,0
Employment Opportunity,,unknown,8.17pm,mon,http://example.com/PHISHING_TEST/row77,"employment, immidiately",[redacted],Y,,[redacted_email],,[redacted],1,y,,0,22,0,0,0
Puppy Sitter:,need puppy sitter ,"ÊMay 16th, 2019", 7.47ma ,thur,HTTP://EXAMPLE.COM/PHISHING_TEST/ROW78,"employment, ",[redacted],Y,,[redacted_email],,[redacted],1,y,need puppy sitter,3,13,17,0,0
Payment receipt,remittance advice for payment ,unknown,12.20pm,thur,http://example.com/PHISHING_TEST/row79,payment,[redacted],Y,,[redacted_email],,[redacted],1,y,remittance advice for payment,4,15,29,0,0
   ÊBusiness/Partnreship   ,deal and interest in business,"May 10th, 2019",1.13am,fri,http://example.com/PHISHING_TEST/row80,benefits,[redacted],Y,Sincerely,[redacted_email],,[redacted],1,y,deal and interest in business,5,27,29,0,0
SCAN5655,shared file,"ÊMay 9th, 2019",12.00pm,thur,http://example.com/PHISHING_TEST/row81,share,[redacted],Y,,[redacted_email],,[redacted],1,y,shared file,2,8,11,0,0
FW: Action Required: Update your payment information now,payment against office 365 subscription was failed,"May 8th, 2019",9.04pm,wed,http://example.com/PHISHING_TEST/row82,"failed, subscription, payment,admin, update,remove,request",[redacted],Y,Regards,[redacted_email],,[redacted],1,,payment against office 365 subscription was failed,7,56,50,0,0
ÊFW: Action Required: Update your payment information now,payment declined for office 365,"May 8th, 2019",7.52pm,unknown,,"UPDATE, DECLINED, PAYMENT, ",[redacted],,"Sincerely,",[redacted_email],,[redacted],1,,payment declined for office 365,5,57,31,0,0
Due Invoice 10355697 From Cortland Line Company,,"May 6th, 2019",12.04 pm,unknown,http://example.com/PHISHING_TEST/row84,"invoice, payment",[redacted],Y,,[redacted_email],,[redacted],1,,,0,47,0,0,0
,"donating, lottery winner","May 4th, 2019",1.30 am,unknown,http://example.com/PHISHING_TEST/row85,"pay, money",[redacted],Y,,[redacted_email],,[redacted],1,y,"donating, lottery winner",3,0,24,0,0
KSU Email Notification,email notification regarding fedaral law violation and identity and verification,"May 3rd, 2019",6.09PM,Fri,http://example.com/PHISHING_TEST/row86,"verificationerror, violates, ",[redacted],,"Sincerely,",[redacted_email],,[redacted],1,y,email notification regarding fedaral law violation and identity and verification,10,22,80,0,0
"ÊDear Web-mail User,","remail pending for database upgrade, validate emial account","ÊMay 3rd, 2019",6.39PM,fri,http://example.com/PHISHING_TEST/row87,"validate, required, upgrade, ",[redacted],,Thanks,[redacted_email],,[redacted],1,y,"remail pending for database upgrade, validate emial account",8,20,59,0,0
Remittance Payment Advice,attched payment details,"May 2nd, 2019",12.42pm,thur,http://example.com/PHISHING_TEST/row88,payment,[redacted],Na,Regards,[redacted_email],,[redacted],1,,attched payment details,3,25,23,0,0
Nancy Smith is inviting you to collaborate on Project Docs,Project docs,"May 2nd, 2019",11.15.53AM,thur,http://example.com/PHISHING_TEST/row89,"project, education",[redacted],,Thanks,[redacted_email],Microsoft,[redacted],1,na,project docs,2,58,12,0,0
Project LR342 Quote Request,"project work share, collaboration","ÊMay 1st, 2019",7.14am,wed,http://example.com/PHISHING_TEST/row90,"peoject, education, request",[redacted],,,[redacted_email],,[redacted],1,,"project work share, collaboration",4,27,33,0,0
ÊPet Sitter Job,job pet sitter,unknown,11.53am,wed,http://example.com/PHISHING_TEST/row91,employment,[redacted],,,[redacted_email],,[redacted],1,,job pet sitter,3,15,14,0,0
"Kent Validation Request on May 01, 2019, 03:00 AM","secuirty update, recommend to validate","ÊMay 1st, 2019",03.00am,unknown,http://example.com/PHISHING_TEST/row92,"security, validate, request",[redacted],Y,Regards,[redacted_email],Microsofr,[redacted],1,y,"secuirty update, recommend to validate",5,49,38,0,0
(1) Your account has been limited. ID: #R5131.6D9R406MH,office account has limited for payment failing,"April 30th, 2019",5.12.30pm,tue,http://example.com/PHISHING_TEST/row93,"LIMITED, VALIDATE, ACCOUNT,FAILED,TRANSACTION",[redacted],Y,"Best Regards,",[redacted_email],office 365,[redacted],1,y,office account has limited for payment failing,7,55,46,0,0
ADVICE OF DEBIT - BANK CONFIDENTIAL,schedule payment in bank in personal checkin account,"APRIL 29TH, 2019",12.03pm,mon,http://example.com/PHISHING_TEST/row94,"payment,account, confidential",[redacted],Y,"Respectfully yours,",[redacted_email],,[redacted],1,y,schedule payment in bank in personal checkin account,8,35,52,0,0
Message - Time 0:55 Seconds,ausio attached with link,"ÊApril 26th, 2019",1.23,fri,http://example.com/PHISHING_TEST/row95,unknown,[redacted],Y,,[redacted_email],,[redacted],1,y,ausio attached with link,4,27,24,0,0
ÊKent Admin #O38A3S#,mandatory account review process,"April 26th, 2019",2.37pm,Fri,http://example.com/PHISHING_TEST/row96,"mandatory, acount, require, admin, incorrect",[redacted],Y,,[redacted_email],Microsoft,[redacted],1,y,mandatory account review process,4,20,32,0,0
Invoice For Service,invoiced for completed work,"ÊApril 26th, 2019",12.00pm,Fri,http://example.com/phishing_test/row97,"invoice, payment",[redacted],Y,,[redacted_email],,[redacted],1,y,invoiced for completed work,4,19,27,0,0
P_nd_ng Document,onedrive pending doc,"ÊApril 25th, 2019",10.20am,thur,http://example.com/PHISHING_TEST/row98,document,[redacted],Y,,[redacted_email],,[redacted],1,y,onedrive pending doc,3,16,20,0,0
Ê[IMPORTANCE] Login Review Required On Kent Email Account,,"ÊApril 25th, 2019",10.15.29am EDT,unknown,,"verify, account,interruption",[redacted],Y,,[redacted_email],Microsoft,[redacted],1,y,,0,57,0,0,0
ÊPaperWorks,document sharepoint,"April 23rd, 2019",2.41pm,tue,http://example.com/PHISHING_TEST/row100,"share, education, ",[redacted],Y,"SINCERELY,",[redacted_email],sSharePoint,[redacted],1,,document sharepoint,2,11,19,0,0
"Kent Request Created on 23 April, 2019 ID: #5KGI6T#","Due to request, you created ID, we need to validate ","ÊApril 23rd, 2019",10.57am,Tue,http://example.com/PHISHING_TEST/row101,"validate, request,",[redacted],Y,,[redacted_email],microsoft,[redacted],1,y,"due to request, you created id, we need to validate",10,51,51,0,0
RE: You're about to lose access to your Office subscription,subscription offcie 365,unknown,2.03am edt,unknown,HTTP://EXAMPLE.COM/phishing_test/ROW102,"subscription, disable, access, admin, payment",[redacted],Y,,[redacted_email],Office365,[redacted],1,y,subscription offcie 365,3,59,23,0,0
(1) Failed to process your Credit Card,credir card process failure,"April 17th, 2019",5.56pm,wed,http://example.com/PHISHING_TEST/row103,"finance, payment, transaction, invoice, failed, ",[redacted],Y,"Best Regards,",[redacted_email],offcie 365,[redacted],1,y,credir card process failure,4,38,27,0,0
Easiest way to claim $1000?,clain money by watching videos,"April 17th, 2019",12.47pm EDT,unknown,http://example.com/PHISHING_TEST/row104,"clain, money, ",[redacted],,,[redacted_email],,[redacted],1,,clain money by watching videos,5,27,30,0,0
the dwyer group n0tlflcatl0n,shared document,"April 16th, 2019",11.55am,tue,http://example.com/PHISHING_TEST/row105,"notification, share",[redacted],Y,,[redacted_email],,[redacted],1,y,shared document,2,28,15,0,0
,doc shared,"April 16th, 2019",12.52pm,tue,http://example.com/PHISHING_TEST/row106,"SHARE, DOC, EDUCATION",[redacted],Y,,[redacted_email],Microsoft,[redacted],1,y,doc shared,2,0,10,0,0
"Kent Service U_d_t_ 15 April, 2019 RefID:XYO2OH",validating account,unknown,3.22pm,tue,http://example.com/PHISHING_TEST/row107,"share, validate, account, deactivate",[redacted],y,,[redacted_email],,[redacted],1,y,validating account,2,47,18,0,0
ÊKent Request Created,validating email account,"April 16th, 2019",4.23am,unknown,http://example.com/PHISHING_TEST/row108,"validate, account, request",[redacted],Y,,[redacted_email],,[redacted],1,y,validating email account,3,21,24,0,0
NEED URGENT QUOTE,cargo need to shio from your country to china asap,"  April 15th, 2019",5.10am,mon,http://example.com/PHISHING_TEST/row109,urgent,[redacted],,,[redacted_email],,[redacted],1,,cargo need to shio from your country to china asap,10,17,50,0,0
Payroll,attached document for payroll,"ÊAPRIL 11TH, 2019",7.17pm,thur,http://example.com/PHISHING_TEST/row110,"tax, payroll, doc",[redacted],Y,,[redacted_email],,[redacted],1,y,attached document for payroll,4,7,29,0,0
MESSAGE ALERT,doc and audio ,"April 10th, 2019",10.22am,wed,http://example.com/PHISHING_TEST/row112,"doc, share, alert",[redacted],Y,,[redacted_email],SharePoint,[redacted],1,y,doc and audio,3,13,13,0,0
A document has been sent to you via eÄ_x Online,,"April 9th, 2019",11.35am,tue,http://example.com/PHISHING_TEST/row113,"share, sent, access, document",[redacted],,Na,[redacted_email],eFax,[redacted],1,,,0,47,0,0,0
,encrypted message,"April 9th, 2019",2.28pm,tue,http://example.com/PHISHING_TEST/row114,encrypted,[redacted],,,[redacted_email],,[redacted],1,,encrypted message,2,0,17,0,0
Server Notification for Kent Alert,  servre detect undelivered emals. Malfucntions and termination ,"April 8th, 2019",5.55am,mon,http://example.com/PHISHING_TEST/row115,"active, termination, alert, notification, required, malfunction",[redacted],Y,,[redacted_email],,[redacted],1,y,servre detect undelivered emals. malfucntions and termination,7,34,61,0,0
message notification,pdf ,"April 8th, 2019",8.16pm,mon,HTTP://EXAMPLE.COM/phishing_test/ROW116,"notification, share, invoice, admin",[redacted],,,[redacted_email],,[redacted],1,y,pdf,1,20,3,0,0
"[IMPORTANCE] Password Confirmation Required On kent.edu April 5, 2019, 7:29 PM Report Refrence Acc ID :35878U9LC8","one time confirmation, avoid login interruption, password verification","April 5th, 2019",3.29pm,fri,http://example.com/PHISHING_TEST/row117,"verification, interrution, account, required, avoid, confirmation",[redacted],Y,,[redacted_email],Microsoft,[redacted],1,y,"one time confirmation, avoid login interruption, password verification",8,113,70,0,0
ÊMarch Statement - Kent,payroll has been submitteed. ,"April 5th, 2019",5.18pm,fri,http://example.com/PHISHING_TEST/row118,"payroll, statement, admin",[redacted],Y,,[redacted_email],,[redacted],1,y,payroll has been submitteed.,4,23,28,0,0
ÊRE: Your Office 365 Business Essentials Bill is ready,"office365 is ready. Payment, credit card","APRIL 4TH, 2019",unknown,thur,http://example.com/PHISHING_TEST/row119,"account, payment,",[redacted],Y,,[redacted_email],OFFCIE 365,[redacted],1,y,"office365 is ready. payment, credit card",6,54,40,0,0
[Important] Login Review On Kent Users,microsoft password review,"ÊApril 2nd, 2019",unknown,tue,http://example.com/PHISHING_TEST/row120,"account, confirm, verification, interruptiom",[redacted],Y,,[redacted_email],Microsoft,[redacted],1,y,microsoft password review,3,38,25,0,0
New Fax Message Fax. com Report[11],find attachment,"April 1st, 2019",unknown,mon,http://example.com/PHISHING_TEST/row121,doc,[redacted],Y,,[redacted_email],,[redacted],1,y,find attachment,2,35,15,0,0
cOACHING iNQUIRY,coaching my son,"March 31st, 2019",11.02am,sun,http://example.com/PHISHING_TEST/row122,"inquiry, employment",[redacted],Y,Thanks,[redacted_email],,[redacted],1,y,coaching my son,3,16,15,0,0
Job,resume attached,"March 30th, 2019",11.44am,sat,http://example.com/PHISHING_TEST/row123,"job, employment",[redacted],Y,,[redacted_email],,[redacted],1,y,resume attached,2,3,15,0,0
From The Desk Of Mr William C.Dudley,"federal reserve bank, record of outstanding payment with federal government, "," Marhc 30th, 2019   ",11.18AM,sat,http://example.com/PHISHING_TEST/row124,"payment, bank, federal, requested",[redacted],,"Sincerely,",[redacted_email],,[redacted],1,y,"federal reserve bank, record of outstanding payment with federal government,",10,36,76,0,0
New fax from: Fax Service....,new fax,"March 29th, 2019",8.57am,fri,http://example.com/PHISHING_TEST/row125,"enclosed, processed, received",[redacted],,,[redacted_email],,[redacted],1,,new fax,2,29,7,0,0
ÊMake Kent State Home,message,"ÊMarch 27th, 2019",5.41am,wed,,doc,[redacted],Y,Yours in Servic,[redacted_email],,[redacted],1,y,message,1,21,7,0,0
3/26 *** Due,pdf file,"March 26th, 2019",1.52pm,tue,http://example.com/PHISHING_TEST/row127,shared doc,[redacted],,,[redacted_email],Premier1,[redacted],1,y,pdf file,2,12,8,0,0
Kennard is inviting you to collaborate on Past Due Invoice 100219,invoice due,"ÊMarch 26th, 2019",9.09pm,tue,http://example.com/PHISHING_TEST/row128,"invoice, payment",[redacted],Y,Thanks,[redacted_email],Microsoft,[redacted],1,y,invoice due,2,65,11,0,0
"ÊI'M SORRY, Apology insideÉ","internet business, access","March 24th, 2019",7.09pm EDT,Na,http://example.com/PHISHING_TEST/row129,"access, hidden, serious, ",[redacted],Y,,[redacted_email],,[redacted],1,y,"internet business, access",3,27,25,0,0
Re: Office 365 - Check Your Account before is be deleted,offcie 365 essentials is ready,"ÊMarch 22nd, 2019",9.57am,fri,http://example.com/PHISHING_TEST/row130,"invoice,deleted, account",[redacted],ba,,[redacted_email],Office 365,[redacted],1,y,offcie 365 essentials is ready,5,56,30,0,0
PO #0210-,Here is the purchase order in relation to client request,"March 22nd, 2019",10.07am,fri,http://example.com/PHISHING_TEST/row131,"request, gift card",[redacted],,Thank you,[redacted_email],,[redacted],1,y,here is the purchase order in relation to client request,10,9,56,0,0
ÊRE: QUOTE STATEMENT,Please confirm if quoting is available for statement below,unknown,3.18am,thur,http://example.com/PHISHING_TEST/row132,"confirm, statement",[redacted],Y,Thank you,[redacted_email],,[redacted],1,y,please confirm if quoting is available for statement below,9,20,58,0,0
,"ttrade stocks , supplement income",unknown,10.04pm,unknown, http://example.com/PHISHING_TEST/row133   ,"earn, income",[redacted],Y,,[redacted_email],,[redacted],1,y,"ttrade stocks , supplement income",5,0,33,0,0
ÊPreliminary CD Package Has Been Generated,Your documents s can be retrieved at,"ÊMarch 20th, 2019",12.48pm,wed,http://example.com/PHISHING_TEST/row134,package,[redacted],Y,Sincerely,[redacted_email],,[redacted],1,y,your documents s can be retrieved at,7,42,36,0,0
Audio Received From,ms voice audio,"March 20th, 2019",7.52AM,wed,http://example.com/PHISHING_TEST/row135,attachment,[redacted],y,Yours in Servic,[redacted_email],,[redacted],1,y,ms voice audio,3,19,14,0,0
Instant Action Requested From You,You have the spot reserved but we need you to complete your activation now,"March 19th, 2019",8.00AM EDT,unknown,http://example.com/PHISHING_TEST/row136,"requested, immidiately, confirm, activation",[redacted],Y,Thanks,[redacted_email],,[redacted],1,y,you have the spot reserved but we need you to complete your activation now,14,33,74,0,0
ÊYou've 2 Voicemail,voice message for you,"March 15th, 2019",  1.208pm ,fri,,"message, ",[redacted],Y,Regards,[redacted_email],Office 365,[redacted],1,y,voice message for you,4,19,21,0,0
Regarding Job,job possition apply,"March 15th, 2019",8.47AM,fri,http://example.com/PHISHING_TEST/row138,"job, employment,",[redacted],Y,"Best regards,",[redacted_email],,[redacted],1,y,job possition apply,3,13,19,0,0
rEF:,most of your incoming email due to your mail session expiration ,"March 13th, 2019",1.30PM,wed,http://example.com/PHISHING_TEST/row139,"expiration, upgrade, re-validation, pending",[redacted],Y,"Best Regards,",[redacted_email],,[redacted],1,y,most of your incoming email due to your mail session expiration,11,4,63,0,0
no subject, You received VM form ,"March 13th, 2019",12.14PM,wed,http://example.com/PHISHING_TEST/row140,unknown,[redacted],,,[redacted_email],,[redacted],1,,you received vm form,4,10,20,0,0
"Good day,",,"march 13th, 2019",6.00PM,   wed ,http://example.com/PHISHING_TEST/row141,unknown,[redacted],Y,Thanks,[redacted_email],Na,[redacted],1,y,,0,9,0,0,0
(Your Requested Username for jobs.kent.edu),your requested username for jons.kent,"March 12th, 2019",10.56am,tue,http://example.com/PHISHING_TEST/row142,request,[redacted],y,,[redacted_email],,[redacted],1,y,your requested username for jons.kent,5,43,37,0,0
YOUR FEBRUARY ACCOUNT STATEMENT IS AVAILABLE.,account statement available,"March 12th, 2019",9.12pm,unknown,http://example.com/PHISHING_TEST/row143,"acount, statement, access, ",[redacted],Y,,[redacted_email],Paypal,[redacted],1,y,account statement available,3,45,27,0,0
Opcuanet - (Annual Conference Topic Suggestions),doc link,"March 12th, 2019",1.10pm,tue,http://example.com/PHISHING_TEST/row144,"conference, education",[redacted],Y,,[redacted_email],,[redacted],1,y,doc link,2,48,8,0,0
ÊIntuit Support: Action Required,Your bank retuned the direct deposit for the payroll,"March 12th, 2019",   .229pm ,tue,http://example.com/PHISHING_TEST/row145,"action, required, payroll, bank",[redacted],,,[redacted_email],,[redacted],1,y,your bank retuned the direct deposit for the payroll,9,32,52,0,0
ÊCc: (RE: Workshop at John Carroll University this Saturday),link for email opning,"March 12th, 2019",8.20am,tue,http://example.com/PHISHING_TEST/row146,workshop,[redacted],,,[redacted_email],,[redacted],1,,link for email opning,4,60,21,0,0
ATC/PTA Program,see attached below,"March 12th, 2019",2.08pm,tue,http://example.com/PHISHING_TEST/row147,unknown,[redacted],Y,,[redacted_email],,[redacted],1,y,see attached below,3,15,18,0,0
MESSAGE NOTIFICATION,one drive ,"March 11th, 2019",3.02pm,mon,http://example.com/PHISHING_TEST/row148,"notification, file",[redacted],Y,,[redacted_email],one drive,[redacted],1,y,one drive,2,20,9,0,0
Lesson Coach Needed,looking for hiring coach,"March 11th, 2019",12.13pm,mon,http://example.com/PHISHING_TEST/row149,"job, needed, hire, available",[redacted],y,Regard,[redacted_email],,[redacted],1,y,looking for hiring coach,4,19,24,0,0
INVOICE#89774-DOC,one drive message,"ÊMarch 11th, 2019",9.11am,mon,http://example.com/PHISHING_TEST/row150,"invoice, shared",[redacted], Y   ,,[redacted_email],,[redacted],1,y,one drive message,3,17,17,0,0
Re: Correct shipment info needed.,"package, delivery address, seems incorrect","March 11th, 2019",8.11am,mon,http://example.com/PHISHING_TEST/row151,"shipment, incorrect, delivery",[redacted],Y,,[redacted_email],,[redacted],1,y,"package, delivery address, seems incorrect",5,33,42,0,0
Action required: Confirm your info to keep a PayPal Balance,paymal money sending issue,"March 10th, 2019",02.00AM EST,unknown,http://example.com/PHISHING_TEST/row152,"required, cofirm, action, money, account",[redacted],Y,,[redacted_email],,[redacted],1,y,paymal money sending issue,4,59,26,0,0
You have new Google Drive Doc message,shared document,"March 9th, 2019",11.52AM,sat,http://example.com/PHISHING_TEST/row153,"file, share,docx",[redacted],Y,,[redacted_email],Google Drive,[redacted],1,y,shared document,2,37,15,0,0
Your Earning For March 2019.,payroll earning statement for direct deposit available,"March 8th, 2019",5.13AM,fri,http://example.com/PHISHING_TEST/row154,"payroll, statement, admin",[redacted],Y,,[redacted_email],,[redacted],1,y,payroll earning statement for direct deposit available,7,28,54,0,0
1KH0/613FV1/USA,cancel surgery,"March 7th, 2019",4.38PM,thur,http://example.com/PHISHING_TEST/row155,unknown,[redacted],Y,Yours ,[redacted_email],,[redacted],1,y,cancel surgery,2,15,14,0,0
Call Delivery note from Trusted Source,new voice ,"March 7th, 2019",9.17am,thur,http://example.com/PHISHING_TEST/row156,"file, share,docx",[redacted],Y,,[redacted_email],,[redacted],1,y,new voice,2,38,9,0,0
View Secure PDF,has sent you your important document,"March 7th, 2019",unknown,thur,http://example.com/PHISHING_TEST/row157,"secure, review",[redacted],Y,rEGARDS,[redacted_email],,[redacted],1,y,has sent you your important document,6,15,36,0,0
ÊListen to Voicenote,voicemessage notification,"March 7th, 2019",12.42am,thur,http://example.com/PHISHING_TEST/row158,notification,[redacted],Y,,[redacted_email],,[redacted],1,y,voicemessage notification,2,20,25,0,0
Terms of Service.,your document has been completed,unknown,1.41pm,wed,http://example.com/PHISHING_TEST/row159,"closing, attachment",[redacted],, na ,[redacted_email],,[redacted],1,,your document has been completed,5,17,32,0,0
Preliminary CD and Other Closing Docs Attached Closing Set for 03/08/2019,your document has been completed,"ÊMarch 7th, 2019",1.41pm,wed,http://example.com/PHISHING_TEST/row160,"closing, attachment",[redacted],,,[redacted_email],,[redacted],1,,your document has been completed,5,73,32,0,0
Notification,ms verification alert,"March 6th, 2019",9.43am,wed,http://example.com/PHISHING_TEST/row161,"verification, notification, update, account, deleted,",[redacted],Y,Regards!,[redacted_email],,[redacted],1,y,ms verification alert,3,12,21,0,0
Urgent Account Notice,your mailboc failed to sync,"March 5th, 2019",5.20am,tue,http://example.com/PHISHING_TEST/row162,"URGENT, NOTICE, ACCOUNT, FAILED, PASSWORD, ",[redacted],Y,,[redacted_email],,[redacted],1,y,your mailboc failed to sync,5,21,27,0,0
YOUR DIPLOMATIC PACKAGE,"package deposit, realiability","March 3rd, 2019",5.22am,sun,http://example.com/PHISHING_TEST/row163,"notify, package, ",[redacted],Y,"Thank you and I sincerely Remain,",[redacted_email],,[redacted],1,y,"package deposit, realiability",3,23,29,0,0
Payroll Earning Statement for March 2019,"earning statement, parroll website","March 1st, 2019",5.56am,fri, http://example.com/PHISHINGT_EST/row164  ,"account, payroll, statement, employee",[redacted],,,[redacted_email],,[redacted],1,,"earning statement, parroll website",4,40,34,0,0
Êsent you a document to review and sign,document,"February 28th, 2019",11.27am, htur  ,http://example.com/PHISHING_TEST/row165,"review, sign",[redacted],,,[redacted_email],DocuSign,[redacted],1,,document,1,39,8,0,0
EMAIL NOTIFICATION ( TREAT URGENT ),email account recently signed,"ÊFebruary 27th, 2019",12.43pm,fri,http://example.com/PHISHING_TEST/row166,notification,[redacted],,,[redacted_email],,[redacted],1,,email account recently signed,4,35,29,0,0
(Secure Message) Re: Reminder : invoice 81736265,secure email,"February 26th, 2019",15.13 EST,unknown,http://example.com/PHISHING_TEST/row167,"invoice, secure",[redacted], Y   ,Y,[redacted_email],,[redacted],1,y,secure email,2,48,12,0,0
Ê(Secure Email) Re: Open Invoice MR87103,SECURE EMAIL,"February 26th, 2019",unknown,tue,http://example.com/PHISHING_TEST/row168,"secure, invoice",[redacted],Y,Y,[redacted_email],,[redacted],1,y,secure email,2,40,12,0,0
"[Reminder] Messages Delayed on kent.edu Email Account Today, 26 Feb 2019. Acc Id:22683aBHnH",DOC ATTACHED,"February 26th, 2019",12.29pm,tue,HTTP://EXAMPLE.COM/PHISHING_TEST/ROW169,"confirm, delay",[redacted],Y,Y,[redacted_email],office 365,[redacted],1,,doc attached,2,91,12,0,0
Êimportant (re: Will you be one of the 15 for KSU student-athletes?),MESSAGE ATTACHED,"February 26th, 2019",4.27am,tue,HTTP://EXAMPLE.COM/phishing_test/ROW170,"important, ",[redacted],Y,Y,[redacted_email],,[redacted],1,y,message attached,2,68,16,0,0
Tansaction Refund from Patti,refund confirmation,"February 22nd, 2019",2.59pm,fri,http://example.com/PHISHING_TEST/row171,"refund, transaction, confirmation, payment",[redacted],Y,,[redacted_email],,[redacted],1,,refund confirmation,2,28,19,0,0
"Ê[IMPORTANCE] Password Verification on kent.edu Email Account Today, 22 Feb 2019. Acc Id:42775V65yf","one time confirmation,","February 22nd, 2019",11.26am,fri,http://example.com/PHISHING_TEST/row172,"verification, account, confirmation",[redacted],Y,Y,[redacted_email],microsoft,[redacted],1,y,"one time confirmation,",3,99,22,0,0
New Message from a Caller,voice message for you,"February 22nd, 2019",10.16am,fri,http://example.com/PHISHING_TEST/row173,"message, ",[redacted],y,Y,[redacted_email],,[redacted],1,y,voice message for you,4,25,21,0,0
Transaction for invoice 36726579,thanks for working with us,"February 21st, 2019",12.12pm,unknown,,"transaction, payment, account, invoice",[redacted],Y,Y,[redacted_email],,[redacted],1,y,thanks for working with us,5,32,26,0,0
Purchasing Order #0361,this is purchasing order,"February 21st, 2019",11.53am,unknown,http://example.com/PHISHING_TEST/row175,unknown,[redacted],Y,THANK YOU,[redacted_email],,[redacted],1,y,this is purchasing order,4,22,24,0,0
"Ian shared ""eVoice Message"" with you.",doc attached,"February 21st, 2019",2.30pm,thur,http://example.com/PHISHING_TEST/row176,"shared, message",[redacted],Y,,[redacted_email],,[redacted],1,,doc attached,2,37,12,0,0
Your incoming email delivery reports,email ,"February 20th, 2019",4.49pm,wed,http://example.com/PHISHING_TEST/row177,report,[redacted],y,,[redacted_email],,[redacted],1,y,email,1,36,5,0,0
new file,file,"February 20th, 2019",11.54am,wed,http://example.com/PHISHING_TEST/row178,review,[redacted],Y,,[redacted_email],Microsoft,[redacted],1,y,file,1,8,4,0,0
Invoice Due,file for invoice,"February 20th, 2019",11.26am,wed,http://example.com/PHISHING_TEST/row179,"review, sign",[redacted],Y,,[redacted_email],Microsoft,[redacted],1,y,file for invoice,3,11,16,0,0
Your incoming email delivery reports,file,"ÊFebruary 19th, 2019",7.20PM,tue,http://example.com/PHISHING_TEST/row180,"delivery, report",[redacted],Y,,[redacted_email],,[redacted],1,y,file,1,36,4,0,0
Notification Release Letter,filr,"February 19th, 2019",9.10am,tue,http://example.com/PHISHING_TEST/row181,"notification, required, action, delayed",[redacted],Y,Na,[redacted_email],,[redacted],1,y,filr,1,27,4,0,0
URGENT,are you at office,"February 14th, 2019",3.59Pm,thur,http://example.com/PHISHING_TEST/row182,"urgent,",[redacted],Y,,[redacted_email],,[redacted],1,y,are you at office,4,6,17,0,0
Sales Contract PO:#224906999,2 new message,unknown,9.32am,tue,,"sales, review",[redacted],Y,thanks,[redacted_email],,[redacted],1,y,2 new message,3,28,13,0,0
new bill from Ian,your bill is here,"February 12th, 2019",2.15pm,tue,http://example.com/PHISHING_TEST/row185,"bill, ",[redacted],,thank you,[redacted_email],,[redacted],1,y,your bill is here,4,17,17,0,0
,please check your ,"February 12th, 2019",2.17am EST,unknown,http://example.com/PHISHING_TEST/row186,"invoice, payment",[redacted],Y,Thank you,[redacted_email],,[redacted],1,y,please check your,3,0,17,0,0
KSU Infringement,"email has been reposted , regulation","February 9th, 2019",11.21am EST,unknown,http://example.com/PHISHING_TEST/row187,"reported, regulations, policies",[redacted],Y,,[redacted_email],,[redacted],1,y,"email has been reposted , regulation",6,16,36,0,0
We recieved your request,request to deactivate,"January 29th, 2019",2.11pm,tue,Http://Example.Com/Phishing_Test/Row188,"request, cancel, deactivate, ",[redacted], Y   ,,[redacted_email],offcie 365,[redacted],1,y,request to deactivate,3,24,21,0,0
