Email_Subject,Email_Content,Sending_Date,Sending_Time,Day,URL_Title,Coined.Word,Sender_Name,Sender_Title,Closing_Remarks,Sender_Email ,Logo,To,Label
"[IMPORTANCE] Password Confirmation Required On kent.edu April 5, 2019, 7:29 PM Report Refrence Acc ID :35878U9LC8","one time confirmation, avoid login interruption, password verification","April 5th, 2019",3.29pm,fri,http://example.com/PHISHING_TEST/row117,"verification, interrution, account, required, avoid, confirmation",Y,Y,na,Y,Microsoft,B,1
ÊMarch Statement - Kent,payroll has been submitteed. ,"April 5th, 2019",5.18pm,fri,http://example.com/PHISHING_TEST/row118,"payroll, statement, admin",Y,Y,na,y,na,B,1
ÊRE: Your Office 365 Business Essentials Bill is ready,"office365 is ready. Payment, credit card","APRIL 4TH, 2019",,thur,http://example.com/PHISHING_TEST/row119,"account, payment,",,Y,,Y,OFFCIE 365,B,1
[Important] Login Review On Kent Users,microsoft password review,"ÊApril 2nd, 2019",,tue,http://example.com/PHISHING_TEST/row120,"account, confirm, verification, interruptiom",Y,Y,na,Y,Microsoft,B,1
New Fax Message Fax. com Report[11],find attachment,"April 1st, 2019",,mon,http://example.com/PHISHING_TEST/row121,doc,y,Y,na,Y,na,B,1
cOACHING iNQUIRY,coaching my son,"March 31st, 2019",11.02am,sun,http://example.com/PHISHING_TEST/row122,"inquiry, employment",Y,Y,Thanks,Y,na,B,1
Job,resume attached,"March 30th, 2019",11.44am,sat,http://example.com/PHISHING_TEST/row123,"job, employment",Y,Y,na,Y,na,B,1
From The Desk Of Mr William C.Dudley,"federal reserve bank, record of outstanding payment with federal government, "," Marhc 30th, 2019   ",11.18AM,sat,http://example.com/PHISHING_TEST/row124,"payment, bank, federal, requested",Y,,"Sincerely,",Y,na,B,1
New fax from: Fax Service....,new fax,"March 29th, 2019",8.57am,fri,http://example.com/PHISHING_TEST/row125,"enclosed, processed, received",na,na,na,,na,B,1
ÊMake Kent State Home,message,"ÊMarch 27th, 2019",5.41am,wed,,doc,Y,Y,Yours in Servic,Y,na,B,1
3/26 *** Due,pdf file,"March 26th, 2019",1.52pm,tue,http://example.com/PHISHING_TEST/row127,shared doc,na,na,na,Y,Premier1,B,1
Kennard is inviting you to collaborate on Past Due Invoice 100219,invoice due,"ÊMarch 26th, 2019",9.09pm,tue,http://example.com/PHISHING_TEST/row128,"invoice, payment",Y,Y,Thanks,Y,Microsoft, B   ,1
"ÊI'M SORRY, Apology insideÉ","internet business, access","March 24th, 2019",7.09pm EDT,Na,http://example.com/PHISHING_TEST/row129,"access, hidden, serious, ",Y,Y,na,y,na,B,1
Re: Office 365 - Check Your Account before is be deleted,offcie 365 essentials is ready,"ÊMarch 22nd, 2019",9.57am,fri,http://example.com/PHISHING_TEST/row130,"invoice,deleted, account",na,ba,na,Y,Office 365,B,1
PO #0210-,Here is the purchase order in relation to client request,"March 22nd, 2019",10.07am,fri,http://example.com/PHISHING_TEST/row131,"request, gift card",na,na,Thank you,y,na,B,1
ÊRE: QUOTE STATEMENT,Please confirm if quoting is available for statement below,,3.18am,thur,http://example.com/PHISHING_TEST/row132,"confirm, statement",Y,Y,Thank you,Y,na,,1
,"ttrade stocks , supplement income",,10.04pm,na, http://example.com/PHISHING_TEST/row133   ,"earn, income",y,Y,na,Y,na,B,1
ÊPreliminary CD Package Has Been Generated,Your documents s can be retrieved at,"ÊMarch 20th, 2019",12.48pm,wed,http://example.com/PHISHING_TEST/row134,package,Y,Y,Sincerely,Y,na,,1
Audio Received From,ms voice audio,"March 20th, 2019",7.52AM,wed,http://example.com/PHISHING_TEST/row135,attachment,Y,y,Yours in Servic,Y,na,B,1
Instant Action Requested From You,You have the spot reserved but we need you to complete your activation now,"March 19th, 2019",8.00AM EDT,na,http://example.com/PHISHING_TEST/row136,"requested, immidiately, confirm, activation",Y,Y,Thanks,Y,na,B,1
ÊYou've 2 Voicemail,voice message for you,"March 15th, 2019",  1.208pm ,fri,,"message, ",Y,Y,Regards,Y,Office 365,B,1
Regarding Job,job possition apply,"March 15th, 2019",8.47AM,fri,http://example.com/PHISHING_TEST/row138,"job, employment,",Y,Y,"Best regards,",Y,na,B,1
rEF:,most of your incoming email due to your mail session expiration ,"March 13th, 2019",1.30PM,wed,http://example.com/PHISHING_TEST/row139,"expiration, upgrade, re-validation, pending",Y,Y,"Best Regards,",Y,na,B,1
no subject, You received VM form ,"March 13th, 2019",12.14PM,wed,http://example.com/PHISHING_TEST/row140,na,na,na,na,na,na,B,1
"Good day,",na,"march 13th, 2019",6.00PM,   wed ,http://example.com/PHISHING_TEST/row141,,Y,Y,Thanks,Y,Na,B,1
(Your Requested Username for jobs.kent.edu),your requested username for jons.kent,"March 12th, 2019",10.56am,tue,http://example.com/PHISHING_TEST/row142,request,Y,y,na,Y,,B,1
YOUR FEBRUARY ACCOUNT STATEMENT IS AVAILABLE.,account statement available,"March 12th, 2019",9.12pm,na,http://example.com/PHISHING_TEST/row143,"acount, statement, access, ",Y,Y,na,Y,Paypal,B,1
Opcuanet - (Annual Conference Topic Suggestions),doc link,"March 12th, 2019",1.10pm,tue,http://example.com/PHISHING_TEST/row144,"conference, education",,Y,,Y,na,B,1
ÊIntuit Support: Action Required,Your bank retuned the direct deposit for the payroll,"March 12th, 2019",   .229pm ,tue,http://example.com/PHISHING_TEST/row145,"action, required, payroll, bank",Y,,na,Y,na,B,1
ÊCc: (RE: Workshop at John Carroll University this Saturday),link for email opning,"March 12th, 2019",8.20am,tue,http://example.com/PHISHING_TEST/row146,workshop,na,na,na,na,na,B,1
ATC/PTA Program,see attached below,"March 12th, 2019",2.08pm,tue,http://example.com/PHISHING_TEST/row147,,Y,Y,na,Y,na,B,1
MESSAGE NOTIFICATION,one drive ,"March 11th, 2019",3.02pm,mon,http://example.com/PHISHING_TEST/row148,"notification, file",Y,Y,na,Y,one drive,B,1
Lesson Coach Needed,looking for hiring coach,"March 11th, 2019",12.13pm,mon,http://example.com/PHISHING_TEST/row149,"job, needed, hire, available",Y,y,Regard,Y,na,B,1
INVOICE#89774-DOC,one drive message,"ÊMarch 11th, 2019",9.11am,mon,http://example.com/PHISHING_TEST/row150,"invoice, shared",Y, Y   ,na,Y,na,B,1
Re: Correct shipment info needed.,"package, delivery address, seems incorrect","March 11th, 2019",8.11am,mon,http://example.com/PHISHING_TEST/row151,"shipment, incorrect, delivery",Y,Y,na,Y,na,B,1
Action required: Confirm your info to keep a PayPal Balance,paymal money sending issue,"March 10th, 2019",02.00AM EST,na,http://example.com/PHISHING_TEST/row152,"required, cofirm, action, money, account",Y,Y,na,Y,na,B,1
You have new Google Drive Doc message,shared document,"March 9th, 2019",11.52AM,sat,http://example.com/PHISHING_TEST/row153,"file, share,docx",Y,Y,na,Y,Google Drive,B,1
Your Earning For March 2019.,payroll earning statement for direct deposit available,"March 8th, 2019",5.13AM,fri,http://example.com/PHISHING_TEST/row154,"payroll, statement, admin",Y,Y,na,Y,na,B,1
1KH0/613FV1/USA,cancel surgery,"March 7th, 2019",4.38PM,thur,http://example.com/PHISHING_TEST/row155,,Y,Y,Yours ,Y,na,B,1
Call Delivery note from Trusted Source,new voice ,"March 7th, 2019",9.17am,thur,http://example.com/PHISHING_TEST/row156,"file, share,docx",Y,Y,na,Y,na,B,1
View Secure PDF,has sent you your important document,"March 7th, 2019",,thur,http://example.com/PHISHING_TEST/row157,"secure, review",na,Y,rEGARDS,Y,na,B,1
ÊListen to Voicenote,voicemessage notification,"March 7th, 2019",12.42am,thur,http://example.com/PHISHING_TEST/row158,notification,Y,Y,na,Y,na,B,1
Terms of Service.,your document has been completed,,1.41pm,wed,http://example.com/PHISHING_TEST/row159,"closing, attachment",na,na, na ,na,na,B,1
Preliminary CD and Other Closing Docs Attached Closing Set for 03/08/2019,your document has been completed,"ÊMarch 7th, 2019",1.41pm,wed,http://example.com/PHISHING_TEST/row160,"closing, attachment",,na,na,na,na,B,1
Notification,ms verification alert,"March 6th, 2019",9.43am,wed,http://example.com/PHISHING_TEST/row161,"verification, notification, update, account, deleted,",Y,Y,Regards!,Y,na,B,1
Urgent Account Notice,your mailboc failed to sync,"March 5th, 2019",5.20am,tue,http://example.com/PHISHING_TEST/row162,"URGENT, NOTICE, ACCOUNT, FAILED, PASSWORD, ",Y,Y,na,Y,na,B,1
YOUR DIPLOMATIC PACKAGE,"package deposit, realiability","March 3rd, 2019",5.22am,sun,http://example.com/PHISHING_TEST/row163,"notify, package, ",Y,Y,"Thank you and I sincerely Remain,",Y,na,B,1
Payroll Earning Statement for March 2019,"earning statement, parroll website","March 1st, 2019",5.56am,fri, http://example.com/PHISHINGT_EST/row164  ,"account, payroll, statement, employee",na,na,na,na,na,B,1
Êsent you a document to review and sign,document,"February 28th, 2019",11.27am, htur  ,http://example.com/PHISHING_TEST/row165,"review, sign",na,na,na,na,DocuSign,B,1
EMAIL NOTIFICATION ( TREAT URGENT ),email account recently signed,"ÊFebruary 27th, 2019",12.43pm,fri,http://example.com/PHISHING_TEST/row166,notification,na,na,,na,na,B,1
(Secure Message) Re: Reminder : invoice 81736265,secure email,"February 26th, 2019",15.13 EST,na,http://example.com/PHISHING_TEST/row167,"invoice, secure",Y, Y   ,Y,Y,na,B,1
Ê(Secure Email) Re: Open Invoice MR87103,SECURE EMAIL,"February 26th, 2019",,tue,http://example.com/PHISHING_TEST/row168,"secure, invoice",   Y ,Y,Y,Y,na,,1
"[Reminder] Messages Delayed on kent.edu Email Account Today, 26 Feb 2019. Acc Id:22683aBHnH",DOC ATTACHED,"February 26th, 2019",12.29pm,tue,HTTP://EXAMPLE.COM/PHISHING_TEST/ROW169,"confirm, delay",Y,Y,Y,,office 365,B,1
Êimportant (re: Will you be one of the 15 for KSU student-athletes?),MESSAGE ATTACHED,"February 26th, 2019",4.27am,tue,HTTP://EXAMPLE.COM/phishing_test/ROW170,"important, ",Y,Y,Y,Y,na,B,1
Tansaction Refund from Patti,refund confirmation,"February 22nd, 2019",2.59pm,fri,http://example.com/PHISHING_TEST/row171,"refund, transaction, confirmation, payment",Y,Y,,,na,B,1
"Ê[IMPORTANCE] Password Verification on kent.edu Email Account Today, 22 Feb 2019. Acc Id:42775V65yf","one time confirmation,","February 22nd, 2019",11.26am,fri,http://example.com/PHISHING_TEST/row172,"verification, account, confirmation",Y,Y,Y,   Y ,microsoft,B,1
New Message from a Caller,voice message for you,"February 22nd, 2019",10.16am,fri,http://example.com/PHISHING_TEST/row173,"message, ",Y,y,Y,Y,na,,1
Transaction for invoice 36726579,thanks for working with us,"February 21st, 2019",12.12pm,,,"transaction, payment, account, invoice",Y,Y,Y,Y,na, B,1
Purchasing Order #0361,this is purchasing order,"February 21st, 2019",11.53am,na,http://example.com/PHISHING_TEST/row175,,Y,Y,THANK YOU,Y,na,B,1
"Ian shared ""eVoice Message"" with you.",doc attached,"February 21st, 2019",2.30pm,thur,http://example.com/PHISHING_TEST/row176,"shared, message",Y,Y,na,,,B,1
Your incoming email delivery reports,email ,"February 20th, 2019",4.49pm,wed,http://example.com/PHISHING_TEST/row177,report,Y,y,na,Y,na,B,1
new file,file,"February 20th, 2019",11.54am,wed,http://example.com/PHISHING_TEST/row178,review,Y,Y,,Y,Microsoft,B,1
Invoice Due,file for invoice,"February 20th, 2019",11.26am,wed,http://example.com/PHISHING_TEST/row179,"review, sign",Y,Y,na,Y,Microsoft,B,1
Your incoming email delivery reports,file,"ÊFebruary 19th, 2019",7.20PM,tue,http://example.com/PHISHING_TEST/row180,"delivery, report",Y,Y,na,Y,na,B,1
Notification Release Letter,filr,"February 19th, 2019",9.10am,tue,http://example.com/PHISHING_TEST/row181,"notification, required, action, delayed",Y,Y,Na,Y,,B,1
URGENT,are you at office,"February 14th, 2019",3.59Pm,thur,http://example.com/PHISHING_TEST/row182,"urgent,",Y,Y,na,Y,na,B,1
Payment from,this is your information today,"February 14th, 2019",7.45am,thur, http://example.com/PHISHIGN_TEST/row183   ,"payment,notice, ",na,na,"Best Regards,",na,,B,N/A
Sales Contract PO:#224906999,2 new message,,9.32am,tue,,"sales, review",Y,Y,thanks,Y,na,B,1
new bill from Ian,your bill is here,"February 12th, 2019",2.15pm,tue,http://example.com/PHISHING_TEST/row185,"bill, ",Y,,thank you,Y,na,B,1
,please check your ,"February 12th, 2019",2.17am EST,na,http://example.com/PHISHING_TEST/row186,"invoice, payment",Y,Y,Thank you,Y,na,B,1
KSU Infringement,"email has been reposted , regulation","February 9th, 2019",11.21am EST,na,http://example.com/PHISHING_TEST/row187,"reported, regulations, policies", Y   ,Y,,Y,,B,1
We recieved your request,request to deactivate,"January 29th, 2019",2.11pm,tue,Http://Example.Com/Phishing_Test/Row188,"request, cancel, deactivate, ",Y, Y   ,na,Y,offcie 365,B,1
Message - Time 0:55 Seconds,ausio attached with link,"ÊApril 26th, 2019",1.23,fri,http://example.com/PHISHING_TEST/row95,na,Y,Y,na,Y,na,B,1
